7	1	0	0
8	1	0	1
13	2	0	0
14	2	1	0
15	2	2	0
16	1	0	1
18	2	0	2
18	3	0	0
19	2	1	2
19	3	1	0
20	3	2	0
22	2	2	2
22	5	0	0
24	1	0	2
24	6	0	0
27	3	0	2
27	3	1	2
27	2	3	0
28	3	2	2
28	2	4	0
29	2	3	1
31	3	0	0
31	3	0	1
32	5	0	2
32	3	1	0
32	3	1	1
33	6	0	2
33	3	2	0
33	3	2	1
34	2	4	2
34	1	1	0
35	2	3	2
35	1	0	0
35	1	0	1
36	1	1	1
43	3	1	2
44	3	2	1
47	6	0	0
47	6	0	1
49	1	0	2
50	2	1	0
50	2	1	1
51	3	0	2
51	1	1	2
51	2	2	0
51	2	2	1
56	6	0	1
58	6	0	1
60	3	2	2
60	5	0	0
60	5	0	1
64	2	1	2
64	2	0	0
64	2	0	1
65	2	2	2
65	2	4	0
65	2	4	1
66	2	4	2
67	6	0	2
72	2	3	0
72	2	3	1
72	2	0	2
72	2	3	2
73	5	0	1
75	5	0	1
76	5	0	2
87	3	0	0
87	3	0	1
87	3	0	2
